,Zenith (refracted),Azimuth angle,Elevation (ETR),Elevation (refracted),ETR global,ETR direct,ETR tilt,Julian day,Day,Month,Year,Hour,Minute
2005-01-22 00:00:00,98.964,251.75,-9.0,-8.964,0.0,0.0,0.0,53392.707,22,1,2005,0,0
2005-01-22 00:10:00,98.964,108.24799999999999,-9.0,-8.964,0.0,0.0,0.0,53392.715,22,1,2005,0,10
2005-01-22 00:20:00,98.964,108.245,-9.0,-8.964,0.0,0.0,0.0,53392.723,22,1,2005,0,20
2005-01-22 00:30:00,98.964,108.243,-9.0,-8.964,0.0,0.0,0.0,53392.73,22,1,2005,0,30
2005-01-22 00:40:00,98.964,108.241,-9.0,-8.964,0.0,0.0,0.0,53392.734000000004,22,1,2005,0,40
2005-01-22 00:50:00,98.964,108.23899999999999,-9.0,-8.964,0.0,0.0,0.0,53392.742,22,1,2005,0,50
2005-01-22 01:00:00,98.964,108.23700000000001,-9.0,-8.964,0.0,0.0,0.0,53392.75,22,1,2005,1,0
2005-01-22 01:10:00,98.964,108.235,-9.0,-8.964,0.0,0.0,0.0,53392.758,22,1,2005,1,10
2005-01-22 01:20:00,98.964,108.23299999999999,-9.0,-8.964,0.0,0.0,0.0,53392.765999999996,22,1,2005,1,20
2005-01-22 01:30:00,98.964,108.23100000000001,-9.0,-8.964,0.0,0.0,0.0,53392.77,22,1,2005,1,30
2005-01-22 01:40:00,98.964,108.228,-9.0,-8.964,0.0,0.0,0.0,53392.777,22,1,2005,1,40
2005-01-22 01:50:00,98.964,108.226,-9.0,-8.964,0.0,0.0,0.0,53392.785,22,1,2005,1,50
2005-01-22 02:00:00,98.964,108.22399999999999,-9.0,-8.964,0.0,0.0,0.0,53392.793,22,1,2005,2,0
2005-01-22 02:10:00,98.964,108.22200000000001,-9.0,-8.964,0.0,0.0,0.0,53392.797,22,1,2005,2,10
2005-01-22 02:20:00,98.964,108.22,-9.0,-8.964,0.0,0.0,0.0,53392.805,22,1,2005,2,20
